Arrivals totals for SAN:
Exit      Flights using exit    As % total
------  --------------------  ------------
0                          0          0.00
1                          4          0.15
2                         37          1.40
3                          6          0.23
4                          1          0.04
5                         87          3.30
6                       1626         61.61
7                        807         30.58
8                         14          0.53
9                          2          0.08
10                         0          0.00
11                         0          0.00
12                         9          0.34
13                        22          0.83
14                        24          0.91
Error                      0          0.00
2639 flights in total
Departures totals for SAN:
Exit      Flights using exit    As % total
------  --------------------  ------------
0                       2464         85.64
1                          1          0.03
2                          0          0.00
3                          0          0.00
4                          0          0.00
5                          0          0.00
6                          0          0.00
7                          0          0.00
8                         27          0.94
9                        312         10.84
10                        13          0.45
11                         0          0.00
12                         2          0.07
13                         1          0.03
14                         0          0.00
Error                     57          1.98
2877 flights in total

Arrivals totals for ORD:
Exit      Flights using exit    As % total
------  --------------------  ------------
0                          3          0.03
1                       2296         24.61
2                        420          4.50
3                          2          0.02
4                         11          0.12
5                          3          0.03
6                          1          0.01
7                          1          0.01
8                         62          0.66
9                         25          0.27
10                       219          2.35
11                      2180         23.37
12                         0          0.00
13                         3          0.03
14                         2          0.02
15                         6          0.06
16                         0          0.00
17                         0          0.00
18                         0          0.00
19                         0          0.00
20                         1          0.01
21                         1          0.01
22                         0          0.00
23                         0          0.00
24                         0          0.00
25                         0          0.00
26                         1          0.01
27                         0          0.00
28                         2          0.02
29                         1          0.01
30                         1          0.01
31                         0          0.00
32                         0          0.00
33                         1          0.01
34                         0          0.00
35                         0          0.00
36                         0          0.00
37                         0          0.00
38                         0          0.00
39                         0          0.00
40                        36          0.39
41                         0          0.00
42                        35          0.38
43                         0          0.00
44                         0          0.00
45                        42          0.45
46                         1          0.01
47                         7          0.08
48                         1          0.01
49                         0          0.00
50                         2          0.02
51                         0          0.00
52                         0          0.00
53                         0          0.00
54                         3          0.03
55                         0          0.00
56                         0          0.00
57                         1          0.01
58                         7          0.08
59                         0          0.00
60                         9          0.10
61                         0          0.00
62                         2          0.02
63                         0          0.00
64                        13          0.14
65                         0          0.00
66                         6          0.06
67                         0          0.00
68                         0          0.00
69                         0          0.00
70                         0          0.00
71                         0          0.00
72                         0          0.00
73                         2          0.02
74                         7          0.08
75                        12          0.13
76                        31          0.33
77                        36          0.39
78                         8          0.09
79                       155          1.66
80                        25          0.27
81                       921          9.87
82                      1892         20.28
83                        50          0.54
84                       271          2.91
85                       250          2.68
86                         3          0.03
87                        61          0.65
88                        12          0.13
89                        13          0.14
90                         2          0.02
91                         2          0.02
92                         0          0.00
93                         0          0.00
94                         0          0.00
95                         0          0.00
96                        68          0.73
97                        97          1.04
98                         3          0.03
99                         0          0.00
100                        0          0.00
101                        0          0.00
102                        0          0.00
103                        0          0.00
Error                      0          0.00
9328 flights in total
Departures totals for ORD:
Exit      Flights using exit    As % total
------  --------------------  ------------
0                          0          0.00
1                          1          0.01
2                          0          0.00
3                          0          0.00
4                         13          0.13
5                         14          0.14
6                          1          0.01
7                          0          0.00
8                         11          0.11
9                        379          3.91
10                         0          0.00
11                         0          0.00
12                         0          0.00
13                         0          0.00
14                         0          0.00
15                         1          0.01
16                         0          0.00
17                         0          0.00
18                        17          0.18
19                        42          0.43
20                         1          0.01
21                         8          0.08
22                         0          0.00
23                         1          0.01
24                         5          0.05
25                       191          1.97
26                         8          0.08
27                         2          0.02
28                        48          0.50
29                         7          0.07
30                         0          0.00
31                         0          0.00
32                         0          0.00
33                         0          0.00
34                         0          0.00
35                         2          0.02
36                        29          0.30
37                        23          0.24
38                        36          0.37
39                         1          0.01
40                         0          0.00
41                         7          0.07
42                         0          0.00
43                         0          0.00
44                        10          0.10
45                         4          0.04
46                         1          0.01
47                         0          0.00
48                         0          0.00
49                         0          0.00
50                         0          0.00
51                        29          0.30
52                         5          0.05
53                         0          0.00
54                         0          0.00
55                         0          0.00
56                         1          0.01
57                       616          6.36
58                        10          0.10
59                         1          0.01
60                         0          0.00
61                         0          0.00
62                        14          0.14
63                      4964         51.26
64                         0          0.00
65                         0          0.00
66                         0          0.00
67                        96          0.99
68                       124          1.28
69                         1          0.01
70                         2          0.02
71                       419          4.33
72                        58          0.60
73                         2          0.02
74                         0          0.00
75                         0          0.00
76                         0          0.00
77                         0          0.00
78                         0          0.00
79                         0          0.00
80                         0          0.00
81                         0          0.00
82                         0          0.00
83                         0          0.00
84                         0          0.00
85                         0          0.00
86                         0          0.00
87                         0          0.00
88                         0          0.00
89                         0          0.00
90                         0          0.00
91                        44          0.45
92                        29          0.30
93                         0          0.00
94                         0          0.00
95                         0          0.00
96                         0          0.00
97                         0          0.00
98                         0          0.00
99                         0          0.00
100                        0          0.00
101                        0          0.00
102                        0          0.00
103                     2285         23.60
Error                    121          1.25
9684 flights in total
