Arrivals totals for SAN:
Exit      Flights using exit    As % total
------  --------------------  ------------
1                          0          0.00
2                          0          0.00
3                          0          0.00
4                          0          0.00
5                          0          0.00
6                          5          1.75
7                         57         19.93
8                         27          9.44
9                          0          0.00
10                         1          0.35
11                         0          0.00
12                         0          0.00
13                         1          0.35
14                         1          0.35
15                         0          0.00
Error                    194         67.83

Departures totals for SAN:
Exit      Flights using exit    As % total
------  --------------------  ------------
1                        262         90.34
2                          0          0.00
3                          0          0.00
4                          0          0.00
5                          0          0.00
6                          0          0.00
7                          1          0.34
8                          0          0.00
9                          1          0.34
10                        21          7.24
11                         1          0.34
12                         0          0.00
13                         0          0.00
14                         0          0.00
15                         0          0.00
Error                      4          1.38
