Arrivals totals for SAN:
Exit      Flights using exit    As % total
------  --------------------  ------------
1                          0          0.00
2                          0          0.00
3                          0          0.00
4                          0          0.00
5                          0          0.00
6                          2          7.69
7                          9         34.62
8                         15         57.69
9                          0          0.00
10                         0          0.00
11                         0          0.00
12                         0          0.00
13                         0          0.00
14                         0          0.00
15                         0          0.00
Error                      0          0.00

Departures totals for SAN:
Exit      Flights using exit    As % total
------  --------------------  ------------
1                         46         88.46
2                          0          0.00
3                          0          0.00
4                          0          0.00
5                          0          0.00
6                          0          0.00
7                          0          0.00
8                          0          0.00
9                          0          0.00
10                         5          9.62
11                         0          0.00
12                         0          0.00
13                         0          0.00
14                         0          0.00
15                         0          0.00
Error                      1          1.92
