Arrivals totals for SAN:
Exit      Flights using exit    As % total
------  --------------------  ------------
1                          0          0.00
2                          0          0.00
3                         10          4.55
4                          2          0.91
5                          2          0.91
6                         11          5.00
7                        138         62.73
8                         57         25.91
9                          0          0.00
10                         0          0.00
11                         0          0.00
12                         0          0.00
13                         0          0.00
14                         0          0.00
15                         0          0.00
Error                      0          0.00

Departures totals for SAN:
Exit      Flights using exit    As % total
------  --------------------  ------------
1                        176         63.08
2                          0          0.00
3                          1          0.36
4                          3          1.08
5                          2          0.72
6                          0          0.00
7                          0          0.00
8                          0          0.00
9                         71         25.45
10                        24          8.60
11                         1          0.36
12                         0          0.00
13                         0          0.00
14                         0          0.00
15                         0          0.00
Error                      1          0.36
